,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
383,jardim,77,1587176937,58,-21.48,-56.14,61.16,3.13,BR
384,bandarbeyla,42,1587176948,72,9.49,50.81,81.5,6.85,SO
385,port macquarie,97,1587176746,61,-7.03,29.76,72.72,5.86,CD
386,linxia,26,1587177005,31,35.6,103.21,54.21,5.01,CN
387,gamba,100,1587177006,89,-2.65,10.0,78.73,2.82,GA
388,trincomalee,72,1587177006,72,8.57,81.23,84.54,7.11,LK
389,verkhnevilyuysk,100,1587177006,87,63.45,120.32,15.21,6.58,RU
390,sisimiut,99,1587176931,94,66.94,-53.67,23.86,7.78,GL
391,south sioux city,100,1587177006,100,64.0,-19.0,33.01,8.99,IS
392,liverpool,100,1587177006,81,53.41,-2.98,44.6,9.17,GB
393,churapcha,99,1587177006,83,62.0,132.43,15.12,9.33,RU
394,ust-kuyga,4,1587177007,85,70.02,135.6,2.03,5.86,RU
395,roma,90,1587176907,86,43.21,-75.46,35.01,5.82,US
396,tignere,10,1587177007,57,7.37,12.65,67.64,3.33,CM
397,haines junction,1,1587177007,31,59.23,-135.44,60.8,13.87,US
398,villamontes,36,1587177007,50,-21.25,-63.5,64.83,2.15,BO
399,santa isabel,24,1587176838,49,17.49,120.43,91.47,7.76,PH
400,boca do acre,100,1587177008,66,45.68,8.41,54.0,1.74,IT
401,bubaque,48,1587176961,60,11.28,-15.83,79.09,22.77,GW
402,kenai,90,1587176928,75,60.55,-151.26,46.4,3.36,US
403,mama,73,1587177008,79,58.31,112.9,27.63,7.47,RU
404,srednekolymsk,100,1587177008,92,67.45,153.68,5.32,13.04,RU
405,akureyri,13,1587177008,75,65.68,-18.09,42.8,28.86,IS
406,aginskoye,100,1587177009,41,51.1,114.53,51.58,15.55,RU
407,kailua,20,1587177009,51,21.4,-157.74,84.2,11.41,US
408,lorengau,59,1587176753,69,-2.02,147.27,84.31,3.89,PG
409,hohhot,20,1587177009,24,40.81,111.65,55.4,4.47,CN
410,hualmay,100,1587176751,78,-11.1,-77.61,70.99,6.62,PE
411,ayan,80,1587177009,80,56.45,138.17,24.91,13.67,RU
412,lagoa,58,1587176922,72,39.05,-27.98,60.37,11.7,PT
413,ruidoso,1,1587177010,34,33.33,-105.67,55.0,9.17,US
414,zhenhai,40,1587177010,61,24.26,118.09,78.8,4.47,CN
415,saurimo,100,1587176960,72,-9.66,20.39,65.59,5.14,AO
416,nizwa,0,1587177010,22,22.93,57.53,80.56,2.48,OM
417,talcahuano,90,1587177010,100,-36.72,-73.12,60.8,3.36,CL
418,porto novo,20,1587176788,100,41.15,-8.61,53.6,5.82,PT
419,high level,1,1587177011,81,33.61,-95.75,48.99,8.05,US
420,tooele,1,1587176966,45,40.53,-112.3,48.2,1.92,US
421,robore,6,1587177011,58,-18.33,-59.75,60.26,2.59,BO
422,pangnirtung,100,1587176634,88,66.15,-65.71,1.42,3.02,CA
423,kyaukse,10,1587177011,47,21.6,96.13,80.6,2.24,MM
424,moose factory,1,1587177011,51,43.66,-110.72,39.2,16.11,US
425,luwuk,87,1587177012,65,-0.95,122.79,86.88,1.36,ID
426,caborca,27,1587177012,19,30.58,-111.1,70.0,9.82,MX
427,viedma,51,1587176936,39,-40.81,-63.0,73.76,19.8,AR
428,bayan,0,1587177012,30,46.08,127.4,64.0,2.33,CN
429,ziarat,5,1587177012,30,30.38,67.73,47.48,5.14,PK
430,sumbe,98,1587177012,86,-11.21,13.84,78.4,0.78,AO
431,ust-omchug,100,1587177012,81,61.15,149.63,6.93,11.32,RU
432,bedford,99,1587176905,85,52.13,-0.47,44.01,4.0,GB
433,panama city,0,1587176719,53,9.0,-80.0,75.99,1.99,PA
434,amapa,100,1587177013,94,1.0,-52.0,72.75,0.67,BR
435,atasu,91,1587177013,38,48.68,71.64,53.76,8.01,KZ
436,keetmanshoop,0,1587177013,21,-26.58,18.13,69.8,10.29,NA
437,trapani,40,1587177013,87,37.83,12.67,59.0,3.36,IT
438,ostroleka,1,1587177013,52,53.09,21.58,28.99,4.81,PL
439,alekseyevsk,18,1587177013,72,57.84,108.35,31.73,13.94,RU
440,irtyshskiy,59,1587177013,72,58.33,68.13,47.59,9.08,RU
441,brownsville,90,1587176778,83,25.9,-97.5,79.0,8.05,US
442,san policarpo,17,1587176945,12,13.3,-4.9,87.85,5.23,ML
443,durg,0,1587177014,55,21.18,81.28,86.0,9.17,IN
444,nelson bay,1,1587177014,68,-41.28,173.28,64.0,10.0,NZ
445,agdam,45,1587177014,63,39.99,46.93,53.08,2.48,AZ
446,bull savanna,100,1587177014,90,6.2,-10.28,79.99,6.08,LR
447,waipawa,1,1587176930,67,-41.41,175.52,62.6,21.92,NZ
448,panalingaan,40,1587177014,71,8.78,117.42,84.74,4.0,PH
449,kittery,90,1587177015,44,43.09,-70.74,39.2,3.36,US
450,senador jose porfirio,34,1587177015,69,18.82,-71.9,80.6,9.17,HT
451,mnogovershinnyy,100,1587177015,89,53.94,139.92,24.76,6.35,RU
452,toora-khem,38,1587177015,45,52.47,96.11,39.49,5.41,RU
453,pabrade,0,1587177015,92,55.0,25.78,30.99,9.04,LT
454,tokonou,99,1587177016,69,9.65,-9.78,77.29,9.42,GN
455,ossora,0,1587177016,90,59.24,163.07,28.44,10.76,RU
456,pangai,20,1587177016,78,-19.8,-174.35,80.6,12.75,TO
457,baruun-urt,100,1587176927,20,46.68,113.28,60.12,24.92,MN
458,ternate,19,1587177016,75,0.8,127.4,84.51,4.18,ID
459,emborion,0,1587177016,70,40.48,21.55,52.0,5.82,GR
460,pasighat,56,1587177016,43,28.07,95.33,82.92,2.28,IN
461,maromitsa,98,1587177016,93,59.87,48.01,30.94,3.29,RU
462,petropavlovsk-kamchatskiy,0,1587177017,39,53.05,158.65,48.2,8.95,RU
463,huilong,100,1587177017,68,31.81,121.66,57.83,8.97,CN
464,banihal,100,1587177017,41,33.42,75.2,52.84,5.28,IN
465,royan,0,1587176943,93,45.63,-1.03,57.2,4.7,FR
466,suntar,100,1587177017,85,62.14,117.63,17.92,6.8,RU
467,mankera,1,1587177017,57,31.39,71.44,70.57,9.95,PK
468,inongo,70,1587177018,89,-1.95,18.27,71.22,1.77,CD
469,kloulklubed,95,1587177018,77,7.04,134.26,84.22,16.71,PW
470,wattegama,96,1587177018,64,6.8,81.48,85.53,3.04,LK
471,xuddur,24,1587177018,73,4.12,43.89,74.88,11.21,SO
472,mahon,100,1587177018,93,39.89,4.27,60.8,6.93,ES
473,marzuq,91,1587177018,50,14.4,46.47,72.21,5.23,YE
474,shahrud,4,1587176889,36,36.42,54.98,52.81,3.65,IR
475,anito,6,1587177019,67,12.45,125.29,85.68,12.8,PH
476,khatanga,0,1587176626,92,71.97,102.5,15.76,13.6,RU
477,mildura,100,1587177019,39,-34.2,142.15,64.99,8.05,AU
478,sanary-sur-mer,91,1587177019,87,43.12,5.8,55.0,5.88,FR
479,kieta,13,1587176958,69,-6.22,155.63,84.74,2.64,PG
480,karaton,20,1587177019,66,-6.34,106.1,86.0,4.7,ID
481,basoko,100,1587177020,87,1.24,23.62,71.73,1.79,CD
482,chernyshevskiy,0,1587177020,84,63.01,112.47,13.98,8.97,RU
483,flinders,0,1587176753,47,-34.58,150.86,72.0,1.01,AU
484,skjervoy,100,1587177020,93,70.03,20.97,34.14,18.5,NO
485,ponta delgada,74,1587177020,75,38.73,-28.27,56.66,12.68,PT
486,rexburg,1,1587177020,36,43.83,-111.79,48.2,11.41,US
487,porto velho,20,1587177020,100,41.15,-8.61,53.6,5.82,PT
488,russell,1,1587177021,82,32.35,-85.2,69.8,3.74,US
489,obo,100,1587177021,68,5.4,26.49,73.42,6.55,CF
490,korla,86,1587177021,33,41.76,86.15,63.27,9.51,CN
491,gorodishche,37,1587177021,74,48.8,44.47,33.8,6.71,RU
492,miracatu,43,1587177022,83,-24.28,-47.46,60.8,1.1,BR
493,daru,94,1587177022,70,-9.08,143.21,85.33,7.9,PG
494,ankazoabo,0,1587177022,69,-22.28,44.52,66.11,2.91,MG
495,zhigansk,0,1587176932,89,66.77,123.37,3.07,15.99,RU
496,traiguen,98,1587177023,88,-38.25,-72.68,63.45,0.83,CL
497,sorland,100,1587177023,94,67.67,12.69,38.82,16.13,NO
498,kazerun,0,1587177023,37,29.62,51.65,62.47,2.13,IR
499,serenje,31,1587177023,63,-13.23,30.24,60.4,6.11,ZM
500,londonderry,0,1587176762,87,55.0,-7.31,38.88,7.67,GB
501,clarence town,90,1587177024,86,42.98,-78.59,34.0,8.05,US
502,bertoua,87,1587176945,80,4.58,13.68,69.53,3.47,CM
503,seymchan,100,1587176818,87,62.88,152.43,7.47,14.63,RU
504,hannibal,1,1587177024,80,39.71,-91.36,35.6,7.38,US
505,kirakira,99,1587177024,73,-10.45,161.92,83.66,1.14,SB
506,tipperary,100,1587177024,91,52.47,-8.16,50.0,3.0,IE
507,alexandria,20,1587177024,88,31.22,29.96,62.6,8.05,EG
508,mareeba,98,1587176957,70,-17.0,145.43,89.01,1.01,AU
509,jumla,82,1587177024,27,29.27,82.18,55.71,3.2,NP
510,tilichiki,35,1587176885,91,60.47,166.1,16.02,16.84,RU
511,vilhena,77,1587177025,66,-12.74,-60.15,66.27,5.55,BR
512,chancay,100,1587177025,83,-11.57,-77.27,69.8,9.17,PE
513,klaksvik,0,1587176912,93,62.23,-6.59,39.2,10.29,FO
514,blythe,1,1587177025,23,33.61,-114.6,79.0,21.92,US
515,ahome,40,1587177025,43,25.92,-109.18,73.4,9.17,MX
516,sur,0,1587177025,75,22.57,59.53,79.23,6.15,OM
517,monroe,90,1587177026,86,43.15,-77.68,35.01,5.82,US
518,boa vista,73,1587177026,85,4.43,8.97,77.7,1.01,CM
519,rodrigues alves,31,1587177026,79,-19.7,63.42,76.5,30.36,MU
520,buala,94,1587176905,76,-8.14,159.59,82.74,5.41,SB
521,formoso do araguaia,54,1587177026,74,-14.95,-46.23,67.8,4.54,BR
522,payakumbuh,51,1587177026,55,-0.22,100.63,84.02,2.37,ID
523,ahipara,13,1587176935,75,-35.17,173.17,67.1,10.94,NZ
524,port hardy,97,1587176932,61,-7.03,29.76,72.72,5.86,CD
525,gravdal,100,1587177027,96,68.12,13.5,38.41,10.92,NO
526,puerto varas,100,1587177027,93,36.59,-6.23,59.0,3.36,ES
527,miramar,75,1587177027,74,25.99,-80.23,82.4,10.29,US
528,jinchang,100,1587177027,24,38.5,102.17,53.73,14.05,CN
529,kalabagh,2,1587177027,54,32.97,71.56,67.05,5.84,PK
530,ukhta,100,1587177027,94,63.57,53.68,34.54,6.64,RU
531,kutum,0,1587176958,20,14.2,24.67,63.99,8.37,SD
532,barguzin,83,1587177028,57,53.62,109.62,39.63,10.74,RU
533,gondar,1,1587177028,14,12.6,37.47,62.92,3.67,ET
534,magadi,40,1587177028,83,12.97,77.23,77.0,4.7,IN
