,City,Country,Lat,Lng,Hotel Name
107,moroni,KM,-11.7,43.26,Golden Tulip Grande Comore Moroni Resort & Spa
108,alofi,NU,-19.06,-169.92,Taloa Heights
109,portland,US,45.52,-122.68,Jupiter Hotel Portland
110,pisco,PE,-13.7,-76.22,Embassy Beach
111,cherskiy,RU,68.75,161.3,
112,bathsheba,BB,13.22,-59.52,Rest Haven Beach Cottages
113,butaritari,KI,3.07,172.79,
114,onega,RU,63.91,38.14,"Gostevoy Dom ""Chayka"""
115,isangel,VU,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
116,nizhniy tsasuchey,RU,45.39,39.24,
117,norman wells,US,35.22,-97.44,Courtyard by Marriott Norman
118,lavrentiya,RU,65.58,-171.0,
119,anton lizardo,PA,8.4,-80.27,Hostal Las Catalinas Anton Panama
120,rio grande,GR,38.3,21.78,Airotel Achaia Beach
121,nome,US,64.5,-165.41,Aurora Inn & Suites
122,namatanai,PG,-3.67,152.43,Namatanai Hotel
123,fortuna,US,40.6,-124.16,Best Western Country Inn
124,havre-saint-pierre,CA,50.23,-63.6,Hotel Du Havre
125,orange cove,US,33.7,-117.77,DoubleTree by Hilton Hotel Irvine - Spectrum
126,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
127,tamiahua,MX,21.27,-97.45,Mission Of The Sun Hotel
128,nikolskoye,RU,59.7,30.79,
129,paamiut,GL,61.99,-49.67,Yeet Hotel
130,kapaa,US,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
131,natal,BR,-5.79,-35.21,Yak Beach Hotel
132,qandala,SO,11.47,49.87,
133,mogzon,RU,51.74,111.96,
134,teguise,ES,29.06,-13.56,HOTEL BOUTIQUE PALACIO ICO
135,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
136,port blair,CD,-7.03,29.76,
137,georgetown,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
138,deputatskiy,RU,69.3,139.9,
139,vardo,NO,70.37,31.11,Meieriet Restaurant
140,menongue,AO,-14.66,17.69,Ritz Lauca
141,urdoma,RU,61.75,48.54,Belkin House
142,paita,PE,-5.09,-81.11,Hotel Náutico de Paita
143,san cristobal,ML,13.3,-4.9,Hôtel Teriya
144,kuito,AO,-12.38,16.93,iu Hotel Kuíto
145,maroantsetra,MG,-15.43,49.73,Hotel l'Hippocampe
146,hellevoetsluis,NL,51.83,4.13,Cape Helius Beach Hotel
147,cidreira,BR,-30.18,-50.21,Pond Country Club
148,mushie,CD,-3.02,16.9,
149,husavik,IS,66.04,-17.34,Arbol
150,hailar,CN,49.2,119.7,Hulunbeir Hotel
151,tuktoyaktuk,CA,69.45,-133.04,Hunter's B&B
152,abu dhabi,IN,24.6,72.7,Hotel Hillock
153,komsomolskiy,UZ,40.43,71.72,Hotel Mehmon Saroy
154,lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
155,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
156,shenjiamen,CN,29.96,122.3,Hilton Zhoushan
157,olivenza,ES,38.68,-7.1,Hotel Los Amigos
158,taltal,CL,-25.4,-70.48,HOTEL PLAZA
159,cobija,BO,-11.03,-68.77,Brasiléia Palace Hotel
160,tlapehuala,MX,18.22,-100.52,
161,iqaluit,CA,63.75,-68.51,Frobisher Inn
162,barreirinhas,BR,-2.75,-42.83,Porto Preguiças Resort
163,orebro,SE,59.27,15.21,Elite Stora Hotellet Örebro
164,koga,JP,33.73,130.47,
165,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
166,tiznit,MA,29.58,-9.5,
167,olinda,BR,-8.01,-34.86,Hotel Costeiro Olinda
168,tuatapere,NZ,-46.13,167.68,Waiau Hotel
169,gorele,TR,41.03,39.0,
170,half moon bay,LR,6.38,-10.7,Modern Hotel
171,faya,SA,18.39,42.45,
172,hambantota,LK,6.12,81.12,Jade Green Hotel Hambantota
173,sechura,PE,-5.56,-80.82,Hotel Amanecer - Sechura
174,ancud,CL,-41.87,-73.82,Panamericana Hotel Ancud
175,kaitangata,NZ,-46.28,169.85,
176,saldanha,ZA,-33.01,17.94,Blue Bay Lodge
177,havelock,US,34.88,-76.9,Holiday Inn Express and Suites Havelock
178,alice springs,US,27.75,-98.07,Hampton Inn Alice
179,fukue,JP,32.69,128.84,SERENDIP HOTEL GOTO
180,pochutla,MX,15.74,-96.47,Hotel Alebrijes
181,pimentel,PE,-6.84,-79.93,Hotel Puerto del Sol
182,liwale,TZ,-9.77,37.93,Samoma Lodge
183,kuala krai,ID,3.38,98.62,
184,southbridge,US,42.08,-72.03,Hampton Inn Sturbridge
185,kungurtug,RU,50.6,97.52,
186,saint-pierre,RE,-21.34,55.48,"Villa Delisle, Hotel & Spa"
187,yurginskoye,RU,56.82,67.39,
188,ponta do sol,PT,38.73,-28.27,Casa dos Lagos - AL
189,inhambane,MZ,-23.86,35.38,Sentidos Beach Retreat
190,baykit,RU,61.67,96.37,
191,praia,CV,14.92,-23.51,Hotel VIP Praia
192,marang,MY,5.21,103.21,Che Beach House
193,port lincoln,CD,-7.03,29.76,
194,tura,IN,25.52,90.22,Hotel Polo Orchid
195,burnie,AU,-41.07,145.92,Ikon Hotel
196,salinopolis,BR,-0.61,-47.36,Hotel Concha do Mar
197,nizhnyaya omka,RU,63.47,41.61,
198,sibolga,ID,1.74,98.78,Prima Indah Hotel
199,karpathos,GR,35.51,27.21,Onar Beach Houses - Karpathos
200,joshimath,IN,30.57,79.57,Blue Poppy Resorts
201,marathon,US,44.9,-89.77,
202,rundu,,-17.93,19.77,Hakusembe River Lodge
203,chokurdakh,RU,70.63,147.92,
204,labuhan,ID,-6.88,112.21,
205,kahului,US,20.89,-156.47,Maui Beach Hotel
206,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
207,ous,RU,60.91,61.52,
208,honningsvag,NO,70.98,25.97,Arctic Hotel Nordkapp
209,tuy hoa,PH,14.02,120.73,
210,surt,LY,31.21,16.59,Salam Hotel
211,shakawe,BW,-18.37,21.85,Athoma Guest House
212,tikhvin,RU,59.65,33.53,"Gostinitsa ""Staryy Dom"""
213,beringovskiy,RU,63.05,179.32,
214,talnakh,RU,69.49,88.4,Talnakh Hotel
215,kulhudhuffushi,MV,6.62,73.07,Hondaafushi Island Resort
216,east london,IS,65.0,-15.0,Hengifoss Guesthouse
217,fairbanks,US,64.84,-147.72,SpringHill Suites by Marriott Fairbanks
218,yambio,SS,4.57,28.4,Naivasha Hotel
219,salalah,OM,17.02,54.09,Salalah Gardens Hotel
220,arman,RU,59.7,150.17,
221,berlevag,NO,70.86,29.09,Berlevåg camping & Appartement AS
222,airai,TL,-8.93,125.41,
223,salekhard,RU,66.53,66.6,Hotel Arktika
224,bunia,CD,1.57,30.25,Hotel Karibuni
225,grand river south east,US,38.88,-109.5,
226,mys shmidta,RU,62.06,48.62,
227,nouadhibou,MR,20.93,-17.03,Hôtel Sahel
228,heihe,CN,50.24,127.49,Steigenberger Hotel Jinjiang Heihe
229,whitianga,NZ,-36.83,175.7,Pipi Dune Bed & Breakfast
230,rajmahal,IN,25.05,87.83,Barman Hotel And Restaurants Nayabazar Rajmaha Sahibganj
231,juneau,US,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
232,mount gambier,GB,53.66,-1.85,Waterfront Lodge Hotel & Prego Restaurant
233,jacqueville,CI,5.21,-4.41,Dream hotel
234,riviere-au-renard,CA,49.0,-64.4,Gîte du Renard
235,chuy,UY,-33.7,-53.46,Bertelli Chuí Hotel
236,seshcha,RU,53.74,33.34,
237,ravar,IR,31.27,56.81,Hotel sperlous
238,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
239,moerai,PF,-22.43,-151.33,Le Manotel
240,songea,TZ,-10.68,35.65,Nkosi Zwangendaba Hotel
241,anstruther,GB,56.22,-2.7,The Waterfront
242,maripi,CO,5.55,-74.01,
243,ambon,ID,-3.7,128.18,Orchid Hotel
244,constitucion,CL,-35.33,-72.42,Resort Vista Hermosa (VH)
245,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
246,guerrero negro,MX,17.67,-100.0,
247,chicama,PE,-7.84,-79.15,Balihai Bungalows
248,okhotsk,RU,59.38,143.3,
249,poum,NC,-20.23,164.02,
250,tiksi,RU,71.69,128.87,Arktika
251,mount isa,GB,53.66,-1.85,Pennine Manor
252,odesskoye,RU,54.21,72.97,
253,leningradskiy,RU,69.38,178.42,
254,ostrovnoy,RU,68.05,39.51,
255,aswan,EG,24.09,32.91,Hotel Sofitel Legend Old Cataract Aswan
256,lensk,RU,60.73,114.93,Mini-hotel Uyut
257,totness,SR,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
258,soure,BR,-0.72,-48.52,Pousada Canto Do Francês
259,port elizabeth,CD,-7.03,29.76,
260,mar del plata,ES,43.4,-4.01,Hotel Playa de Los Locos
261,bonthe,SL,7.53,-12.51,Bonthe Holiday Village
262,marsa matruh,MT,35.88,14.5,Preluna
263,mazatlan,MX,23.22,-106.42,Hotel Emporio Mazatlán
264,hofn,IS,64.25,-15.21,Milk Factory
265,mayumba,GA,-3.43,10.66,Hotel Mayeye Foutou
266,ola,RU,59.58,151.28,
267,tacoronte,ES,28.48,-16.41,Hotel Las Cañadas
268,rehoboth,,-23.32,17.08,Ochsenwagen Hotel Pension
269,chinsali,ZM,-10.54,32.08,Nkakula Guest House
270,clinton,US,42.59,-82.92,Holiday Inn Express & Suites Chesterfield - Selfridge Area
271,dromolaxia,CY,34.88,33.59,Sun Hall Hotel
272,ramsar,IR,36.92,50.64,Ramsar Parsian Hotel
273,caravelas,BR,-17.71,-39.25,Pousada Liberdade
274,vila velha,PT,42.03,-8.16,Hotel Castrum Villae
275,narsaq,GL,60.92,-46.05,Hotel Narsaq
276,wilmington,US,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
277,jieshi,CN,22.81,115.83,维也纳酒店
278,novaya zaimka,RU,55.92,38.33,Guest House Sosnovaya Alleya
279,hobyo,SO,5.35,48.53,
280,matara,LK,5.95,80.54,ParrotFish Bay
281,lima,PE,-12.04,-77.03,Hotel España
282,astara,AZ,38.5,48.67,
283,alta floresta,NO,69.97,23.27,Scandic Alta
284,belmonte,BR,-15.86,-38.88,Pousada Rio
285,udachnyy,RU,66.42,112.4,
286,luderitz,,-26.65,15.16,Kairos Cottage
287,krasnoselkup,RU,65.7,82.47,Gostinitsa Krasnosel'kup
288,gouyave,GD,12.16,-61.73,Mount Edgecombe Plantation
289,santa fe,PH,17.49,120.43,Monte Leah Beach Resort
290,paragominas,BR,-2.97,-47.48,
291,halifax,CA,44.65,-63.57,Halifax Marriott Harbourfront Hotel
292,moctezuma,MX,29.8,-109.67,Hotel San Antonio
293,montemor-o-novo,PT,38.65,-8.21,L'and Vineyards
294,uusikaupunki,FI,60.8,21.41,Hotel Aquarius
295,lakes entrance,US,61.61,-149.31,Grand View Inn & Suites
296,kumano,JP,34.34,132.59,
297,vao,NC,-22.67,167.48,OURE TERA beach resort
298,richards bay,US,46.84,-95.91,Americas Best Value Inn & Suites - Detroit Lakes MN
299,edd,ER,13.93,41.69,
300,genhe,CN,50.78,121.52,Blueberry Town Theme Hotel
301,san pedro,ML,13.3,-4.9,Hôtel Teriya
302,asau,RO,46.43,26.4,Pensiunea Sophia
303,prince rupert,CA,52.97,-108.38,
304,hami,CN,42.8,93.45,哈密环球大酒店
305,kendari,ID,-3.94,122.5,Claro Hotel Kendari
306,chatrapur,IN,19.35,84.98,
307,hamilton,US,39.18,-84.53,Hampton Inn & Suites Cincinnati/Uptown-University Area
308,abu samrah,IN,24.6,72.7,Hotel Hillock
309,garowe,SO,8.41,48.48,Curubo Hotel
310,andenes,NO,69.31,16.12,Grønnbuene Rorbu Hotel
311,vila franca do campo,PT,42.03,-8.16,Hotel Castrum Villae
312,angouleme,FR,45.65,0.15,ibis Angoulême Nord
